iter	Passed	Remaining
602	1300	856
603	1302	854
604	1304	851
605	1306	849
606	1308	847
607	1310	845
608	1313	843
609	1315	840
610	1317	838
611	1319	836
612	1321	834
613	1323	832
614	1325	830
615	1328	828
616	1331	826
617	1333	823
618	1335	821
619	1337	819
620	1339	817
621	1341	814
622	1342	812
623	1345	811
624	1348	809
625	1350	807
626	1352	804
627	1354	802
628	1356	800
629	1358	797
630	1360	795
631	1362	793
632	1364	791
633	1367	789
634	1370	787
635	1372	785
636	1374	783
637	1377	781
638	1379	779
639	1382	777
640	1384	775
641	1386	772
642	1388	770
643	1390	768
644	1392	766
645	1394	764
646	1396	762
647	1399	760
648	1401	757
649	1403	755
650	1405	753
651	1407	751
652	1414	751
653	1416	749
654	1418	746
655	1420	744
656	1421	742
657	1424	740
658	1427	738
659	1429	736
660	1431	734
661	1433	732
662	1435	729
663	1437	727
664	1440	725
665	1443	723
666	1445	721
667	1448	719
668	1450	717
669	1452	715
670	1454	713
671	1456	711
672	1459	709
673	1461	707
674	1464	705
675	1466	702
676	1468	700
677	1471	698
678	1474	696
679	1476	694
680	1478	692
681	1479	690
682	1482	687
683	1484	685
684	1485	683
685	1488	681
686	1491	679
687	1492	676
688	1494	674
689	1496	672
690	1498	670
691	1500	667
692	1502	665
693	1505	663
694	1507	661
695	1509	659
696	1510	656
697	1512	654
698	1514	652
699	1516	649
700	1518	647
701	1520	645
702	1523	643
703	1525	641
704	1527	638
705	1528	636
706	1531	634
707	1532	632
708	1534	630
709	1538	628
710	1540	626
711	1542	623
712	1543	621
713	1545	619
714	1547	616
715	1549	614
716	1552	612
717	1554	610
718	1555	608
719	1557	605
720	1559	603
721	1560	601
722	1563	598
723	1564	596
724	1566	594
725	1569	592
726	1571	590
727	1572	587
728	1574	585
729	1576	582
730	1578	580
731	1580	578
732	1583	576
733	1586	574
734	1587	572
735	1589	570
736	1591	567
737	1593	565
738	1595	563
739	1598	561
740	1602	560
741	1604	557
742	1606	555
743	1608	553
744	1610	551
745	1612	549
746	1616	547
747	1617	545
748	1619	542
749	1621	540
750	1623	538
751	1625	536
752	1627	533
753	1629	531
754	1631	529
755	1633	527
756	1635	524
757	1638	523
758	1640	520
759	1642	518
760	1644	516
761	1646	514
762	1648	512
763	1651	510
764	1654	508
765	1657	506
766	1659	504
767	1661	501
768	1663	499
769	1665	497
770	1668	495
771	1670	493
772	1672	491
773	1673	488
774	1675	486
775	1677	484
776	1680	482
777	1682	480
778	1684	477
779	1686	475
780	1687	473
781	1689	471
782	1691	468
783	1694	466
784	1696	464
785	1699	462
786	1701	460
787	1703	458
788	1705	456
789	1707	453
790	1709	451
791	1711	449
792	1714	447
793	1716	445
794	1718	443
795	1720	440
796	1722	438
797	1724	436
798	1727	434
799	1729	432
800	1731	430
801	1733	427
802	1735	425
803	1737	423
804	1738	421
805	1740	419
806	1744	417
807	1747	415
808	1749	413
809	1752	411
810	1755	409
811	1758	407
812	1761	405
813	1764	403
814	1766	400
815	1768	398
816	1771	396
817	1775	394
818	1777	392
819	1779	390
820	1782	388
821	1784	386
822	1787	384
823	1790	382
824	1793	380
825	1795	378
826	1797	376
827	1799	373
828	1802	371
829	1807	370
830	1809	368
831	1811	365
832	1813	363
833	1815	361
834	1818	359
835	1823	357
836	1825	355
837	1827	353
838	1829	351
839	1832	348
840	1835	347
841	1840	345
842	1843	343
843	1846	341
844	1849	339
845	1853	337
846	1856	335
847	1858	333
848	1860	330
849	1863	328
850	1865	326
851	1872	325
852	1876	323
853	1879	321
854	1889	320
855	1893	318
856	1896	316
857	1907	315
858	1910	313
859	1927	313
860	1941	313
861	1945	311
862	1955	310
863	1962	308
864	1969	307
865	1972	305
866	1975	302
867	1977	300
868	1980	298
869	1984	296
870	1987	294
871	1990	292
872	1992	289
873	1994	287
874	1997	285
875	1999	283
876	2003	280
877	2007	278
878	2010	276
879	2012	274
880	2017	272
881	2019	270
882	2022	267
883	2024	265
884	2026	263
885	2030	261
886	2033	259
887	2036	256
888	2038	254
889	2040	252
890	2042	249
891	2050	248
892	2053	246
893	2056	243
894	2058	241
895	2061	239
896	2064	237
897	2066	234
898	2068	232
899	2070	230
900	2074	227
901	2076	225
902	2079	223
903	2081	221
904	2084	218
905	2086	216
906	2090	214
907	2094	212
908	2097	209
909	2099	207
910	2101	205
911	2104	203
912	2108	200
913	2110	198
914	2112	196
915	2114	193
916	2117	191
917	2120	189
918	2123	187
919	2125	184
920	2128	182
921	2130	180
922	2132	177
923	2135	175
924	2138	173
925	2140	171
926	2142	168
927	2145	166
928	2147	164
929	2149	161
930	2152	159
931	2153	157
932	2162	155
933	2164	152
934	2168	150
935	2171	148
936	2172	146
937	2175	143
938	2177	141
939	2179	139
940	2181	136
941	2183	134
942	2188	132
943	2190	129
944	2193	127
945	2195	125
946	2197	122
947	2199	120
948	2202	118
949	2204	116
950	2207	113
951	2209	111
952	2211	109
953	2213	106
954	2215	104
955	2220	102
956	2223	99
957	2226	97
958	2227	95
959	2230	92
960	2235	90
961	2239	88
962	2243	86
963	2246	83
964	2250	81
965	2252	79
966	2255	76
967	2257	74
968	2260	72
969	2262	69
970	2266	67
971	2269	65
972	2271	63
973	2274	60
974	2276	58
975	2278	56
976	2282	53
977	2284	51
978	2286	49
979	2288	46
980	2290	44
981	2292	42
982	2294	39
983	2296	37
984	2298	35
985	2302	32
986	2305	30
987	2307	28
988	2311	25
989	2314	23
990	2317	21
991	2320	18
992	2323	16
993	2325	14
994	2328	11
995	2330	9
996	2333	7
997	2336	4
998	2338	2
999	2340	0
