iter	Logloss
0	0.6773436483
1	0.6636838277
2	0.6456381734
3	0.6304250081
4	0.6168370565
5	0.6019164022
6	0.5902753194
7	0.5769054159
8	0.5662920125
9	0.5556912231
10	0.5476125081
11	0.5382309977
12	0.5301524862
13	0.5202544149
14	0.5123456828
15	0.5033932495
16	0.4936828613
17	0.4847383626
18	0.4773655701
19	0.4720114136
20	0.466328125
21	0.4605981445
22	0.4550975545
23	0.4500857544
24	0.4452124023
25	0.4399020386
26	0.4362794495
27	0.4315611776
28	0.427587382
29	0.4230236308
30	0.4196950785
31	0.4162592061
32	0.4138254293
33	0.4106167348
34	0.4078355662
35	0.4046262614
36	0.4025869497
37	0.4002298228
38	0.397822698
39	0.3952786764
40	0.3918492635
41	0.3898405965
42	0.3876288859
43	0.3852548218
44	0.3838505554
45	0.3818573507
46	0.3797909037
47	0.3782535044
48	0.3764100138
49	0.3744091543
50	0.3717603048
51	0.3706162771
52	0.3690863291
53	0.3678589122
54	0.365583547
55	0.3642209625
56	0.3631682332
57	0.3622703044
58	0.360968221
59	0.3602143351
60	0.3586813354
61	0.3577150218
62	0.3564685567
63	0.3548973083
64	0.3531190745
65	0.3515408834
66	0.350074412
67	0.3488134257
68	0.3481308492
69	0.3474427287
70	0.3462560781
71	0.3453740438
72	0.3447709656
73	0.3440462748
74	0.3433229574
75	0.3425318146
76	0.3420367432
77	0.34144104
78	0.3406580607
79	0.340270284
80	0.3398429616
81	0.3387837219
82	0.3377675374
83	0.3370856476
84	0.3366668701
85	0.3359963226
86	0.3350226084
87	0.3342154694
88	0.3337556458
89	0.3332304382
90	0.332273407
91	0.3319365946
92	0.3314339956
93	0.3309864553
94	0.3305319468
95	0.3300704447
96	0.3296199799
97	0.3292735291
98	0.3288040161
99	0.3281674703
100	0.3275434875
101	0.3270234426
102	0.3267763011
103	0.3262244161
104	0.3255607096
105	0.3252549235
106	0.3247761281
107	0.324290212
108	0.3239017741
109	0.3235854594
110	0.3232191976
111	0.3226210276
112	0.3223666382
113	0.3221067301
114	0.3218084208
115	0.3214431
116	0.3211318207
117	0.3208834839
118	0.3204793294
119	0.3201080322
120	0.3197270457
121	0.3194274902
122	0.3191238149
123	0.3187638346
124	0.3185711924
125	0.3181544495
126	0.3178430939
127	0.3173925273
128	0.3171442159
129	0.3167718252
130	0.3164754232
131	0.3161459096
132	0.3157545471
133	0.3154971059
134	0.3153176117
135	0.315004069
136	0.3147743479
137	0.3144999949
138	0.3141923014
139	0.3137810008
140	0.3134388733
141	0.3130498759
142	0.3127063751
143	0.3124375916
144	0.3121788025
145	0.3118253072
146	0.3116124471
147	0.3113085937
148	0.3110884603
149	0.3108261617
150	0.3106519572
151	0.3104464722
152	0.3102459717
153	0.3100313568
154	0.3097532145
155	0.309509608
156	0.3093457286
157	0.3091851807
158	0.3088896179
159	0.3086334737
160	0.3083839671
161	0.3081476339
162	0.3079232279
163	0.3077283986
164	0.3074811808
165	0.3072669729
166	0.3070090739
167	0.3068341573
168	0.306619161
169	0.3063365682
170	0.3060760244
171	0.3058600871
172	0.3056400553
173	0.3054603577
174	0.3051152802
175	0.3049281311
